url_length,dot_count,hyphen_count,has_https,has_ip,suspicious_keyword_count,entropy,label
34,1,2,1,0,1,4.2,1
41,1,3,1,0,2,4.21,1
25,3,0,0,1,1,3.86,1
40,1,3,1,0,2,4.27,1
38,1,2,1,0,0,4.06,1
30,1,2,1,0,0,4.32,1
35,1,2,1,0,2,4.46,1
34,1,2,1,0,1,3.98,1
37,2,3,1,0,2,4.01,1
34,2,2,1,0,2,4.16,1
36,1,2,1,0,1,4.29,1
38,1,3,1,0,0,4.27,1
36,1,3,1,0,1,4.13,1
34,1,2,1,0,1,3.77,1
32,1,2,1,0,2,4.12,1
36,1,2,1,0,0,4.29,1
35,1,3,1,0,2,4.15,1
35,1,2,1,0,1,4.4,1
36,1,3,1,0,2,3.94,1
32,1,2,1,0,2,4.18,1
37,1,2,1,0,1,4.13,1
38,1,3,1,0,1,4.26,1
38,2,2,1,0,2,4.22,1
37,1,2,1,0,2,4.3,1
37,1,3,1,0,2,4.05,1
34,1,2,1,0,1,4.45,1
33,1,2,1,0,1,4.06,1
34,1,2,1,0,1,4.34,1
31,1,2,1,0,1,4.09,1
34,1,2,1,0,1,4.12,1
22,2,0,1,0,0,3.66,0
23,2,0,1,0,0,3.76,0
23,2,0,1,0,0,3.94,0
29,2,0,1,0,1,4.02,0
21,2,0,1,0,0,3.69,0
21,2,0,1,0,0,3.65,0
25,2,0,1,0,0,3.67,0
25,2,0,1,0,0,3.81,0
18,1,0,1,0,0,3.68,0
25,1,0,1,0,0,4.02,0
26,2,0,1,0,0,3.72,0
24,2,0,1,0,0,3.97,0
18,1,0,1,0,0,3.73,0
22,2,0,1,0,0,3.75,0
25,2,0,1,0,0,3.86,0
24,2,0,1,0,0,3.86,0
23,2,0,1,0,0,3.5,0
21,2,0,1,0,0,3.56,0
23,2,0,1,0,0,3.59,0
25,2,0,1,0,0,3.83,0
21,3,0,1,0,0,3.56,0
24,2,0,1,0,0,3.97,0
24,2,0,1,0,0,3.94,0
26,2,0,1,0,0,4.06,0
23,2,0,1,0,0,3.76,0
23,2,0,1,0,0,3.68,0
19,2,0,1,0,0,3.47,0
21,2,0,1,0,0,3.78,0
21,2,0,1,0,0,3.69,0
21,2,0,1,0,0,3.33,0
